country,date,active_players,rating_count,rating_mean,rating_std,rating_median,rating_p10,rating_p90,rating_players,accuracy_count,accuracy_mean,accuracy_std,accuracy_median,accuracy_p10,accuracy_p90,accuracy_players,win_count,loss_count,win_percentage,loss_percentage
FR,2008-02-02,7,7,1832.0,0.0,1832.0,1832.0,1832.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2008-02-03,1,1,1281.0,0.0,1281.0,1281.0,1281.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,100.0,0.0
FR,2008-02-04,7,7,1806.0,0.0,1806.0,1806.0,1806.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,7,0.0,100.0
FR,2008-02-09,1,2,1359.0,16.0,1359.0,1346.2,1371.8,1,0,0.0,0.0,0.0,0.0,0.0,0,2,0,100.0,0.0
FR,2008-02-11,1,1,1409.0,0.0,1409.0,1409.0,1409.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,100.0,0.0
FR,2008-02-13,7,14,1824.0,16.0,1824.0,1811.2,1836.8,7,0,0.0,0.0,0.0,0.0,0.0,0,14,0,100.0,0.0
FR,2008-02-14,1,1,1425.0,0.0,1425.0,1425.0,1425.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,100.0,0.0
FR,2008-02-16,7,7,1854.0,0.0,1854.0,1854.0,1854.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2008-02-17,7,7,1839.0,0.0,1839.0,1839.0,1839.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,7,0.0,100.0
FR,2008-02-20,8,9,1768.9999999999998,0.0,1855.0,1855.0,1855.0,8,0,0.0,0.0,0.0,0.0,0.0,0,9,0,100.0,0.0
FR,2008-02-21,8,8,1838.375,0.0,1887.0,1887.0,1887.0,8,0,0.0,0.0,0.0,0.0,0.0,0,8,0,100.0,0.0
FR,2008-02-23,7,7,1909.0,0.0,1909.0,1909.0,1909.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2008-02-24,1,1,1555.0,0.0,1555.0,1555.0,1555.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,100.0,0.0
FR,2008-02-26,7,7,1904.0,0.0,1904.0,1904.0,1904.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,7,0.0,100.0
FR,2008-03-01,7,14,1910.0,6.0,1910.0,1905.2,1914.8,7,0,0.0,0.0,0.0,0.0,0.0,0,7,7,50.0,50.0
FR,2008-03-03,7,7,1920.0,0.0,1920.0,1920.0,1920.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2008-03-07,7,7,1938.0,0.0,1938.0,1938.0,1938.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
